,,,,
,,,,
,,,,
,,,,
,,,,
﻿,,,,
Axis,Energy,Elements=,201,
687.58,,50977.7,,29641.7
687.48,,51987.1,,29639.7
687.38,,54872.6,,29637.6
687.28,,57469.3,,29635.2
687.18,,59928.9,,29632.6
687.08,,62632.9,,29629.8
686.98,,64978.3,,29626.8
686.88,,66819.6,,29623.5
686.78,,69338.1,,29620
686.68,,71625.1,,29616.3
686.58,,74078.4,,29612.3
686.48,,77950.3,,29608.2
686.38,,79842.2,,29603.7
686.28,,81476.5,,29599.1
686.18,,84536.3,,29594.2
686.08,,87405.4,,29589.1
685.98,,89050.6,,29583.7
685.88,,91394.3,,29578.2
685.78,,92267.1,,29572.5
685.68,,94424.6,,29566.6
685.58,,96183.9,,29560.6
685.48,,97106.1,,29554.5
685.38,,96806.6,,29548.2
685.28,,97671.4,,29542
685.18,,97003.4,,29535.7
685.08,,94902.1,,29529.5
684.98,,95252.5,,29523.3
684.88,,92823.8,,29517.3
684.78,,89442.3,,29511.5
684.68,,87232.6,,29505.9
684.58,,82608.3,,29500.6
684.48,,79539.2,,29495.7
684.38,,76132.7,,29491
684.28,,71460.6,,29486.7
684.18,,67040.2,,29482.8
684.08,,62257.5,,29479.3
683.98,,58803.8,,29476.2
683.88,,55169.6,,29473.5
683.78,,51251.6,,29471.1
683.68,,48211.5,,29469
683.58,,44714.5,,29467.2
683.48,,42981.3,,29465.7
683.38,,40700.7,,29464.5
683.28,,38253.6,,29463.4
683.18,,36792.1,,29462.6
683.08,,35469.4,,29461.9
682.98,,34214.9,,29461.3
682.88,,33288.7,,29460.8
682.78,,32695.2,,29460.4
682.68,,32298.4,,29460.1
682.58,,31185.7,,29459.9
682.48,,31297,,29459.7
682.38,,30984.1,,29459.5
682.28,,30538,,29459.4
682.18,,30397.6,,29459.3
682.08,,30479.1,,29459.2
681.98,,30153.6,,29459.1
681.88,,30143.8,,29459
681.78,,29458.7,,29459
681.68,,29955.3,,29458.9
681.58,,29844.9,,29458.9
681.48,,29639.2,,29458.9
681.38,,29934.5,,29458.8
681.28,,29297.6,,29458.8
681.18,,29553.7,,29458.8
681.08,,29447.5,,29458.8
680.98,,29497.3,,29458.8
680.88,,29581.7,,29458.8
680.78,,29430.9,,29458.8
680.68,,29522.9,,29458.8
680.58,,29082.7,,29458.8
680.48,,29318.4,,29458.8
680.38,,29777.3,,0
680.28,,29592.6,,0
680.18,,29658.2,,0
680.08,,29724.2,,0
679.98,,29162.9,,0
679.88,,28551.5,,0
679.78,,29238.2,,0
679.68,,29604.1,,0
679.58,,29011.3,,0
679.48,,29196,,0
679.38,,29176.5,,0
679.28,,29043.4,,0
679.18,,29530.1,,0
679.08,,28879.5,,0
678.98,,28818.6,,0
678.88,,29490.2,,0
678.78,,29212.5,,0
678.68,,29138.5,,0
678.58,,29088.1,,0
678.48,,29241.7,,0
678.38,,29188.5,,0
678.28,,28820.4,,0
678.18,,28949.1,,0
678.08,,29222.8,,0
